City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,shindand,33.3029,62.1474,22.31,15,0,3.57,AF,1717279329
291,keflavik,64.0049,-22.5624,8.24,93,75,9.26,IS,1717279565
292,fiambala,-27.6871,-67.6149,17.21,14,22,1.38,AR,1717279565
293,tanumah,27.1,44.1333,31.65,15,0,8.02,SA,1717279469
294,srednebelaya,50.6594,128.0106,17.21,63,55,1.42,RU,1717279566
295,lincoln city,44.9582,-124.0179,20.02,82,100,3.58,US,1717279297
296,freeport,40.6576,-73.5832,30.83,41,0,7.72,US,1717279316
297,palmer,42.1584,-72.3287,28.34,34,0,2.57,US,1717279566
298,nemuro,43.3236,145.575,7.81,69,32,2.68,JP,1717279566
299,jaguarao,-32.5661,-53.3758,15.42,89,63,4.05,BR,1717279285
300,mizan teferi,6.9833,35.5833,16.65,96,22,1.31,ET,1717279566
301,lieksa,63.3167,30.0167,16.19,79,68,2.23,FI,1717279566
302,pennagaram,12.1333,77.9,26.43,86,100,1.44,IN,1717279566
303,newport,51.5877,-2.9984,15.46,79,80,3.36,GB,1717279567
304,reggane,26.7158,0.1714,32.55,13,1,4.11,DZ,1717279567
305,touros,-5.1989,-35.4608,25.68,88,29,4.82,BR,1717279567
306,north bend,43.4065,-124.2243,21.25,77,100,4.63,US,1717279567
307,qingdao,36.0986,120.3719,17.78,77,0,3.0,CN,1717279567
308,san andres,12.5847,-81.7006,29.01,89,40,6.17,CO,1717279567
309,zhalantun,48.0,122.7167,16.43,45,10,1.78,CN,1717279567
310,vrsac,45.1167,21.3036,19.9,73,0,3.09,RS,1717279353
311,hadibu,12.65,54.0333,28.51,75,54,4.3,YE,1717279568
312,troitskiy,57.0603,63.7481,5.81,67,7,2.41,RU,1717279568
313,buriti alegre,-18.14,-49.0403,19.35,50,0,1.91,BR,1717279568
314,slyudyanka,51.6594,103.7061,8.54,96,100,0.62,RU,1717279568
315,afaahiti,-17.75,-149.2833,27.93,74,40,1.88,PF,1717279568
316,sault ste. marie,46.5168,-84.3333,22.31,39,20,4.12,CA,1717279563
317,tommot,58.9564,126.2925,15.93,73,7,1.22,RU,1717279568
318,conception bay south,47.4999,-52.9981,7.4,98,100,2.6,CA,1717279281
319,micheweni,-4.9667,39.8333,25.52,87,44,4.99,TZ,1717279569
320,acarau,-2.8856,-40.12,26.27,85,14,4.89,BR,1717279269
321,kuta,-8.7233,115.1723,26.97,100,75,4.63,ID,1717279569
322,kyelang,32.5833,77.0333,-2.27,71,2,3.52,IN,1717279569
323,manaure,11.7751,-72.4445,32.8,53,99,8.13,CO,1717279569
324,new martinsville,39.6445,-80.8576,25.94,50,100,1.62,US,1717279569
325,palikir - national government center,6.9248,158.1611,29.47,79,75,4.63,FM,1717279569
326,igarka,67.4667,86.5833,0.01,92,100,5.81,RU,1717279570
327,bamboo flat,11.7,92.7167,26.74,82,100,6.79,IN,1717279570
